window_id,symbol,window_start_utc,window_end_utc,point_count
btcusdt_0001,BTCUSDT,2026-02-01T00:00:00Z,2026-02-01T10:39:00Z,640
btcusdt_0002,BTCUSDT,2026-02-01T02:08:00Z,2026-02-01T12:47:00Z,640
btcusdt_0003,BTCUSDT,2026-02-01T04:16:00Z,2026-02-01T14:55:00Z,640
btcusdt_0004,BTCUSDT,2026-02-01T06:24:00Z,2026-02-01T17:03:00Z,640
btcusdt_0005,BTCUSDT,2026-02-01T08:32:00Z,2026-02-01T19:11:00Z,640
btcusdt_0006,BTCUSDT,2026-02-01T10:40:00Z,2026-02-01T21:19:00Z,640
btcusdt_0007,BTCUSDT,2026-02-01T12:48:00Z,2026-02-01T23:27:00Z,640
btcusdt_0008,BTCUSDT,2026-02-01T14:56:00Z,2026-02-02T01:35:00Z,640
btcusdt_0009,BTCUSDT,2026-02-01T17:04:00Z,2026-02-02T03:43:00Z,640
btcusdt_0010,BTCUSDT,2026-02-01T19:12:00Z,2026-02-02T05:51:00Z,640
btcusdt_0011,BTCUSDT,2026-02-01T21:20:00Z,2026-02-02T07:59:00Z,640
btcusdt_0012,BTCUSDT,2026-02-01T23:28:00Z,2026-02-02T10:07:00Z,640
btcusdt_0013,BTCUSDT,2026-02-02T01:36:00Z,2026-02-02T12:15:00Z,640
btcusdt_0014,BTCUSDT,2026-02-02T03:44:00Z,2026-02-02T14:23:00Z,640
btcusdt_0015,BTCUSDT,2026-02-02T05:52:00Z,2026-02-02T16:31:00Z,640
btcusdt_0016,BTCUSDT,2026-02-02T08:00:00Z,2026-02-02T18:39:00Z,640
btcusdt_0017,BTCUSDT,2026-02-02T10:08:00Z,2026-02-02T20:47:00Z,640
btcusdt_0018,BTCUSDT,2026-02-02T12:16:00Z,2026-02-02T22:55:00Z,640
btcusdt_0019,BTCUSDT,2026-02-02T14:24:00Z,2026-02-03T01:03:00Z,640
btcusdt_0020,BTCUSDT,2026-02-02T16:32:00Z,2026-02-03T03:11:00Z,640
btcusdt_0021,BTCUSDT,2026-02-02T18:40:00Z,2026-02-03T05:19:00Z,640
btcusdt_0022,BTCUSDT,2026-02-02T20:48:00Z,2026-02-03T07:27:00Z,640
btcusdt_0023,BTCUSDT,2026-02-02T22:56:00Z,2026-02-03T09:35:00Z,640
btcusdt_0024,BTCUSDT,2026-02-03T01:04:00Z,2026-02-03T11:43:00Z,640
btcusdt_0025,BTCUSDT,2026-02-03T03:12:00Z,2026-02-03T13:51:00Z,640
btcusdt_0026,BTCUSDT,2026-02-03T05:20:00Z,2026-02-03T15:59:00Z,640
btcusdt_0027,BTCUSDT,2026-02-03T07:28:00Z,2026-02-03T18:07:00Z,640
btcusdt_0028,BTCUSDT,2026-02-03T09:36:00Z,2026-02-03T20:15:00Z,640
btcusdt_0029,BTCUSDT,2026-02-03T11:44:00Z,2026-02-03T22:23:00Z,640
btcusdt_0030,BTCUSDT,2026-02-03T13:52:00Z,2026-02-04T00:31:00Z,640
btcusdt_0031,BTCUSDT,2026-02-03T16:00:00Z,2026-02-04T02:39:00Z,640
btcusdt_0032,BTCUSDT,2026-02-03T18:08:00Z,2026-02-04T04:47:00Z,640
btcusdt_0033,BTCUSDT,2026-02-03T20:16:00Z,2026-02-04T06:55:00Z,640
btcusdt_0034,BTCUSDT,2026-02-03T22:24:00Z,2026-02-04T09:03:00Z,640
btcusdt_0035,BTCUSDT,2026-02-04T00:32:00Z,2026-02-04T11:11:00Z,640
btcusdt_0036,BTCUSDT,2026-02-04T02:40:00Z,2026-02-04T13:19:00Z,640
btcusdt_0037,BTCUSDT,2026-02-04T04:48:00Z,2026-02-04T15:27:00Z,640
btcusdt_0038,BTCUSDT,2026-02-04T06:56:00Z,2026-02-04T17:35:00Z,640
btcusdt_0039,BTCUSDT,2026-02-04T09:04:00Z,2026-02-04T19:43:00Z,640
btcusdt_0040,BTCUSDT,2026-02-04T11:12:00Z,2026-02-04T21:51:00Z,640
btcusdt_0041,BTCUSDT,2026-02-04T13:20:00Z,2026-02-04T23:59:00Z,640
btcusdt_0042,BTCUSDT,2026-02-04T15:28:00Z,2026-02-05T02:07:00Z,640
btcusdt_0043,BTCUSDT,2026-02-04T17:36:00Z,2026-02-05T04:15:00Z,640
btcusdt_0044,BTCUSDT,2026-02-04T19:44:00Z,2026-02-05T06:23:00Z,640
btcusdt_0045,BTCUSDT,2026-02-04T21:52:00Z,2026-02-05T08:31:00Z,640
btcusdt_0046,BTCUSDT,2026-02-05T00:00:00Z,2026-02-05T10:39:00Z,640
btcusdt_0047,BTCUSDT,2026-02-05T02:08:00Z,2026-02-05T12:47:00Z,640
btcusdt_0048,BTCUSDT,2026-02-05T04:16:00Z,2026-02-05T14:55:00Z,640
btcusdt_0049,BTCUSDT,2026-02-05T06:24:00Z,2026-02-05T17:03:00Z,640
btcusdt_0050,BTCUSDT,2026-02-05T08:32:00Z,2026-02-05T19:11:00Z,640
btcusdt_0051,BTCUSDT,2026-02-05T10:40:00Z,2026-02-05T21:19:00Z,640
btcusdt_0052,BTCUSDT,2026-02-05T12:48:00Z,2026-02-05T23:27:00Z,640
btcusdt_0053,BTCUSDT,2026-02-05T14:56:00Z,2026-02-06T01:35:00Z,640
btcusdt_0054,BTCUSDT,2026-02-05T17:04:00Z,2026-02-06T03:43:00Z,640
btcusdt_0055,BTCUSDT,2026-02-05T19:12:00Z,2026-02-06T05:51:00Z,640
btcusdt_0056,BTCUSDT,2026-02-05T21:20:00Z,2026-02-06T07:59:00Z,640
btcusdt_0057,BTCUSDT,2026-02-05T23:28:00Z,2026-02-06T10:07:00Z,640
btcusdt_0058,BTCUSDT,2026-02-06T01:36:00Z,2026-02-06T12:15:00Z,640
btcusdt_0059,BTCUSDT,2026-02-06T03:44:00Z,2026-02-06T14:23:00Z,640
btcusdt_0060,BTCUSDT,2026-02-06T05:52:00Z,2026-02-06T16:31:00Z,640
btcusdt_0061,BTCUSDT,2026-02-06T08:00:00Z,2026-02-06T18:39:00Z,640
btcusdt_0062,BTCUSDT,2026-02-06T10:08:00Z,2026-02-06T20:47:00Z,640
btcusdt_0063,BTCUSDT,2026-02-06T12:16:00Z,2026-02-06T22:55:00Z,640
btcusdt_0064,BTCUSDT,2026-02-06T14:24:00Z,2026-02-07T01:03:00Z,640
btcusdt_0065,BTCUSDT,2026-02-06T16:32:00Z,2026-02-07T03:11:00Z,640
btcusdt_0066,BTCUSDT,2026-02-06T18:40:00Z,2026-02-07T05:19:00Z,640
btcusdt_0067,BTCUSDT,2026-02-06T20:48:00Z,2026-02-07T07:27:00Z,640
btcusdt_0068,BTCUSDT,2026-02-06T22:56:00Z,2026-02-07T09:35:00Z,640
btcusdt_0069,BTCUSDT,2026-02-07T01:04:00Z,2026-02-07T11:43:00Z,640
btcusdt_0070,BTCUSDT,2026-02-07T03:12:00Z,2026-02-07T13:51:00Z,640
btcusdt_0071,BTCUSDT,2026-02-07T05:20:00Z,2026-02-07T15:59:00Z,640
btcusdt_0072,BTCUSDT,2026-02-07T07:28:00Z,2026-02-07T18:07:00Z,640
btcusdt_0073,BTCUSDT,2026-02-07T09:36:00Z,2026-02-07T20:15:00Z,640
btcusdt_0074,BTCUSDT,2026-02-07T11:44:00Z,2026-02-07T22:23:00Z,640
btcusdt_0075,BTCUSDT,2026-02-07T13:52:00Z,2026-02-08T00:31:00Z,640
btcusdt_0076,BTCUSDT,2026-02-07T16:00:00Z,2026-02-08T02:39:00Z,640
btcusdt_0077,BTCUSDT,2026-02-07T18:08:00Z,2026-02-08T04:47:00Z,640
btcusdt_0078,BTCUSDT,2026-02-07T20:16:00Z,2026-02-08T06:55:00Z,640
btcusdt_0079,BTCUSDT,2026-02-07T22:24:00Z,2026-02-08T09:03:00Z,640
btcusdt_0080,BTCUSDT,2026-02-08T00:32:00Z,2026-02-08T11:11:00Z,640
btcusdt_0081,BTCUSDT,2026-02-08T02:40:00Z,2026-02-08T13:19:00Z,640
btcusdt_0082,BTCUSDT,2026-02-08T04:48:00Z,2026-02-08T15:27:00Z,640
btcusdt_0083,BTCUSDT,2026-02-08T06:56:00Z,2026-02-08T17:35:00Z,640
btcusdt_0084,BTCUSDT,2026-02-08T09:04:00Z,2026-02-08T19:43:00Z,640
btcusdt_0085,BTCUSDT,2026-02-08T11:12:00Z,2026-02-08T21:51:00Z,640
btcusdt_0086,BTCUSDT,2026-02-08T13:20:00Z,2026-02-08T23:59:00Z,640
btcusdt_0087,BTCUSDT,2026-02-08T15:28:00Z,2026-02-09T02:07:00Z,640
btcusdt_0088,BTCUSDT,2026-02-08T17:36:00Z,2026-02-09T04:15:00Z,640
btcusdt_0089,BTCUSDT,2026-02-08T19:44:00Z,2026-02-09T06:23:00Z,640
btcusdt_0090,BTCUSDT,2026-02-08T21:52:00Z,2026-02-09T08:31:00Z,640
btcusdt_0091,BTCUSDT,2026-02-09T00:00:00Z,2026-02-09T10:39:00Z,640
btcusdt_0092,BTCUSDT,2026-02-09T02:08:00Z,2026-02-09T12:47:00Z,640
btcusdt_0093,BTCUSDT,2026-02-09T04:16:00Z,2026-02-09T14:55:00Z,640
btcusdt_0094,BTCUSDT,2026-02-09T06:24:00Z,2026-02-09T17:03:00Z,640
btcusdt_0095,BTCUSDT,2026-02-09T08:32:00Z,2026-02-09T19:11:00Z,640
btcusdt_0096,BTCUSDT,2026-02-09T10:40:00Z,2026-02-09T21:19:00Z,640
btcusdt_0097,BTCUSDT,2026-02-09T12:48:00Z,2026-02-09T23:27:00Z,640
btcusdt_0098,BTCUSDT,2026-02-09T14:56:00Z,2026-02-10T01:35:00Z,640
btcusdt_0099,BTCUSDT,2026-02-09T17:04:00Z,2026-02-10T03:43:00Z,640
btcusdt_0100,BTCUSDT,2026-02-09T19:12:00Z,2026-02-10T05:51:00Z,640
btcusdt_0101,BTCUSDT,2026-02-09T21:20:00Z,2026-02-10T07:59:00Z,640
btcusdt_0102,BTCUSDT,2026-02-09T23:28:00Z,2026-02-10T10:07:00Z,640
btcusdt_0103,BTCUSDT,2026-02-10T01:36:00Z,2026-02-10T12:15:00Z,640
btcusdt_0104,BTCUSDT,2026-02-10T03:44:00Z,2026-02-10T14:23:00Z,640
btcusdt_0105,BTCUSDT,2026-02-10T05:52:00Z,2026-02-10T16:31:00Z,640
btcusdt_0106,BTCUSDT,2026-02-10T08:00:00Z,2026-02-10T18:39:00Z,640
btcusdt_0107,BTCUSDT,2026-02-10T10:08:00Z,2026-02-10T20:47:00Z,640
btcusdt_0108,BTCUSDT,2026-02-10T12:16:00Z,2026-02-10T22:55:00Z,640
btcusdt_0109,BTCUSDT,2026-02-10T14:24:00Z,2026-02-11T01:03:00Z,640
btcusdt_0110,BTCUSDT,2026-02-10T16:32:00Z,2026-02-11T03:11:00Z,640
btcusdt_0111,BTCUSDT,2026-02-10T18:40:00Z,2026-02-11T05:19:00Z,640
btcusdt_0112,BTCUSDT,2026-02-10T20:48:00Z,2026-02-11T07:27:00Z,640
btcusdt_0113,BTCUSDT,2026-02-10T22:56:00Z,2026-02-11T09:35:00Z,640
btcusdt_0114,BTCUSDT,2026-02-11T01:04:00Z,2026-02-11T11:43:00Z,640
btcusdt_0115,BTCUSDT,2026-02-11T03:12:00Z,2026-02-11T13:51:00Z,640
btcusdt_0116,BTCUSDT,2026-02-11T05:20:00Z,2026-02-11T15:59:00Z,640
btcusdt_0117,BTCUSDT,2026-02-11T07:28:00Z,2026-02-11T18:07:00Z,640
btcusdt_0118,BTCUSDT,2026-02-11T09:36:00Z,2026-02-11T20:15:00Z,640
btcusdt_0119,BTCUSDT,2026-02-11T11:44:00Z,2026-02-11T22:23:00Z,640
btcusdt_0120,BTCUSDT,2026-02-11T13:52:00Z,2026-02-12T00:31:00Z,640
btcusdt_0121,BTCUSDT,2026-02-11T16:00:00Z,2026-02-12T02:39:00Z,640
btcusdt_0122,BTCUSDT,2026-02-11T18:08:00Z,2026-02-12T04:47:00Z,640
btcusdt_0123,BTCUSDT,2026-02-11T20:16:00Z,2026-02-12T06:55:00Z,640
btcusdt_0124,BTCUSDT,2026-02-11T22:24:00Z,2026-02-12T09:03:00Z,640
btcusdt_0125,BTCUSDT,2026-02-12T00:32:00Z,2026-02-12T11:11:00Z,640
btcusdt_0126,BTCUSDT,2026-02-12T02:40:00Z,2026-02-12T13:19:00Z,640
btcusdt_0127,BTCUSDT,2026-02-12T04:48:00Z,2026-02-12T15:27:00Z,640
btcusdt_0128,BTCUSDT,2026-02-12T06:56:00Z,2026-02-12T17:35:00Z,640
btcusdt_0129,BTCUSDT,2026-02-12T09:04:00Z,2026-02-12T19:43:00Z,640
btcusdt_0130,BTCUSDT,2026-02-12T11:12:00Z,2026-02-12T21:51:00Z,640
btcusdt_0131,BTCUSDT,2026-02-12T13:20:00Z,2026-02-12T23:59:00Z,640
btcusdt_0132,BTCUSDT,2026-02-12T15:28:00Z,2026-02-13T02:07:00Z,640
btcusdt_0133,BTCUSDT,2026-02-12T17:36:00Z,2026-02-13T04:15:00Z,640
btcusdt_0134,BTCUSDT,2026-02-12T19:44:00Z,2026-02-13T06:23:00Z,640
btcusdt_0135,BTCUSDT,2026-02-12T21:52:00Z,2026-02-13T08:31:00Z,640
btcusdt_0136,BTCUSDT,2026-02-13T00:00:00Z,2026-02-13T10:39:00Z,640
btcusdt_0137,BTCUSDT,2026-02-13T02:08:00Z,2026-02-13T12:47:00Z,640
btcusdt_0138,BTCUSDT,2026-02-13T04:16:00Z,2026-02-13T14:55:00Z,640
btcusdt_0139,BTCUSDT,2026-02-13T06:24:00Z,2026-02-13T17:03:00Z,640
btcusdt_0140,BTCUSDT,2026-02-13T08:32:00Z,2026-02-13T19:11:00Z,640
btcusdt_0141,BTCUSDT,2026-02-13T10:40:00Z,2026-02-13T21:19:00Z,640
btcusdt_0142,BTCUSDT,2026-02-13T12:48:00Z,2026-02-13T23:27:00Z,640
btcusdt_0143,BTCUSDT,2026-02-13T14:56:00Z,2026-02-14T01:35:00Z,640
btcusdt_0144,BTCUSDT,2026-02-13T17:04:00Z,2026-02-14T03:43:00Z,640
btcusdt_0145,BTCUSDT,2026-02-13T19:12:00Z,2026-02-14T05:51:00Z,640
btcusdt_0146,BTCUSDT,2026-02-13T21:20:00Z,2026-02-14T07:59:00Z,640
btcusdt_0147,BTCUSDT,2026-02-13T23:28:00Z,2026-02-14T10:07:00Z,640
btcusdt_0148,BTCUSDT,2026-02-14T01:36:00Z,2026-02-14T12:15:00Z,640
btcusdt_0149,BTCUSDT,2026-02-14T03:44:00Z,2026-02-14T14:23:00Z,640
btcusdt_0150,BTCUSDT,2026-02-14T05:52:00Z,2026-02-14T16:31:00Z,640
btcusdt_0151,BTCUSDT,2026-02-14T08:00:00Z,2026-02-14T18:39:00Z,640
btcusdt_0152,BTCUSDT,2026-02-14T10:08:00Z,2026-02-14T20:47:00Z,640
btcusdt_0153,BTCUSDT,2026-02-14T12:16:00Z,2026-02-14T22:55:00Z,640
btcusdt_0154,BTCUSDT,2026-02-14T14:24:00Z,2026-02-15T01:03:00Z,640
btcusdt_0155,BTCUSDT,2026-02-14T16:32:00Z,2026-02-15T03:11:00Z,640
