window_id,symbol,window_start_utc,window_end_utc,point_count
btcusdt_0156,BTCUSDT,2026-02-14T18:40:00Z,2026-02-15T05:19:00Z,640
btcusdt_0157,BTCUSDT,2026-02-14T20:48:00Z,2026-02-15T07:27:00Z,640
btcusdt_0158,BTCUSDT,2026-02-14T22:56:00Z,2026-02-15T09:35:00Z,640
btcusdt_0159,BTCUSDT,2026-02-15T01:04:00Z,2026-02-15T11:43:00Z,640
btcusdt_0160,BTCUSDT,2026-02-15T03:12:00Z,2026-02-15T13:51:00Z,640
btcusdt_0161,BTCUSDT,2026-02-15T05:20:00Z,2026-02-15T15:59:00Z,640
btcusdt_0162,BTCUSDT,2026-02-15T07:28:00Z,2026-02-15T18:07:00Z,640
btcusdt_0163,BTCUSDT,2026-02-15T09:36:00Z,2026-02-15T20:15:00Z,640
btcusdt_0164,BTCUSDT,2026-02-15T11:44:00Z,2026-02-15T22:23:00Z,640
btcusdt_0165,BTCUSDT,2026-02-15T13:52:00Z,2026-02-16T00:31:00Z,640
btcusdt_0166,BTCUSDT,2026-02-15T16:00:00Z,2026-02-16T02:39:00Z,640
btcusdt_0167,BTCUSDT,2026-02-15T18:08:00Z,2026-02-16T04:47:00Z,640
btcusdt_0168,BTCUSDT,2026-02-15T20:16:00Z,2026-02-16T06:55:00Z,640
btcusdt_0169,BTCUSDT,2026-02-15T22:24:00Z,2026-02-16T09:03:00Z,640
btcusdt_0170,BTCUSDT,2026-02-16T00:32:00Z,2026-02-16T11:11:00Z,640
btcusdt_0171,BTCUSDT,2026-02-16T02:40:00Z,2026-02-16T13:19:00Z,640
btcusdt_0172,BTCUSDT,2026-02-16T04:48:00Z,2026-02-16T15:27:00Z,640
btcusdt_0173,BTCUSDT,2026-02-16T06:56:00Z,2026-02-16T17:35:00Z,640
btcusdt_0174,BTCUSDT,2026-02-16T09:04:00Z,2026-02-16T19:43:00Z,640
btcusdt_0175,BTCUSDT,2026-02-16T11:12:00Z,2026-02-16T21:51:00Z,640
btcusdt_0176,BTCUSDT,2026-02-16T13:20:00Z,2026-02-16T23:59:00Z,640
btcusdt_0177,BTCUSDT,2026-02-16T15:28:00Z,2026-02-17T02:07:00Z,640
btcusdt_0178,BTCUSDT,2026-02-16T17:36:00Z,2026-02-17T04:15:00Z,640
btcusdt_0179,BTCUSDT,2026-02-16T19:44:00Z,2026-02-17T06:23:00Z,640
btcusdt_0180,BTCUSDT,2026-02-16T21:52:00Z,2026-02-17T08:31:00Z,640
btcusdt_0181,BTCUSDT,2026-02-17T00:00:00Z,2026-02-17T10:39:00Z,640
btcusdt_0182,BTCUSDT,2026-02-17T02:08:00Z,2026-02-17T12:47:00Z,640
btcusdt_0183,BTCUSDT,2026-02-17T04:16:00Z,2026-02-17T14:55:00Z,640
btcusdt_0184,BTCUSDT,2026-02-17T06:24:00Z,2026-02-17T17:03:00Z,640
btcusdt_0185,BTCUSDT,2026-02-17T08:32:00Z,2026-02-17T19:11:00Z,640
btcusdt_0186,BTCUSDT,2026-02-17T10:40:00Z,2026-02-17T21:19:00Z,640
btcusdt_0187,BTCUSDT,2026-02-17T12:48:00Z,2026-02-17T23:27:00Z,640
btcusdt_0188,BTCUSDT,2026-02-17T14:56:00Z,2026-02-18T01:35:00Z,640
btcusdt_0189,BTCUSDT,2026-02-17T17:04:00Z,2026-02-18T03:43:00Z,640
btcusdt_0190,BTCUSDT,2026-02-17T19:12:00Z,2026-02-18T05:51:00Z,640
btcusdt_0191,BTCUSDT,2026-02-17T21:20:00Z,2026-02-18T07:59:00Z,640
btcusdt_0192,BTCUSDT,2026-02-17T23:28:00Z,2026-02-18T10:07:00Z,640
btcusdt_0193,BTCUSDT,2026-02-18T01:36:00Z,2026-02-18T12:15:00Z,640
btcusdt_0194,BTCUSDT,2026-02-18T03:44:00Z,2026-02-18T14:23:00Z,640
btcusdt_0195,BTCUSDT,2026-02-18T05:52:00Z,2026-02-18T16:31:00Z,640
btcusdt_0196,BTCUSDT,2026-02-18T08:00:00Z,2026-02-18T18:39:00Z,640
btcusdt_0197,BTCUSDT,2026-02-18T10:08:00Z,2026-02-18T20:47:00Z,640
btcusdt_0198,BTCUSDT,2026-02-18T12:16:00Z,2026-02-18T22:55:00Z,640
btcusdt_0199,BTCUSDT,2026-02-18T14:24:00Z,2026-02-19T01:03:00Z,640
btcusdt_0200,BTCUSDT,2026-02-18T16:32:00Z,2026-02-19T03:11:00Z,640
btcusdt_0201,BTCUSDT,2026-02-18T18:40:00Z,2026-02-19T05:19:00Z,640
btcusdt_0202,BTCUSDT,2026-02-18T20:48:00Z,2026-02-19T07:27:00Z,640
btcusdt_0203,BTCUSDT,2026-02-18T22:56:00Z,2026-02-19T09:35:00Z,640
btcusdt_0204,BTCUSDT,2026-02-19T01:04:00Z,2026-02-19T11:43:00Z,640
btcusdt_0205,BTCUSDT,2026-02-19T03:12:00Z,2026-02-19T13:51:00Z,640
btcusdt_0206,BTCUSDT,2026-02-19T05:20:00Z,2026-02-19T15:59:00Z,640
btcusdt_0207,BTCUSDT,2026-02-19T07:28:00Z,2026-02-19T18:07:00Z,640
btcusdt_0208,BTCUSDT,2026-02-19T09:36:00Z,2026-02-19T20:15:00Z,640
btcusdt_0209,BTCUSDT,2026-02-19T11:44:00Z,2026-02-19T22:23:00Z,640
btcusdt_0210,BTCUSDT,2026-02-19T13:52:00Z,2026-02-20T00:31:00Z,640
btcusdt_0211,BTCUSDT,2026-02-19T16:00:00Z,2026-02-20T02:39:00Z,640
btcusdt_0212,BTCUSDT,2026-02-19T18:08:00Z,2026-02-20T04:47:00Z,640
btcusdt_0213,BTCUSDT,2026-02-19T20:16:00Z,2026-02-20T06:55:00Z,640
btcusdt_0214,BTCUSDT,2026-02-19T22:24:00Z,2026-02-20T09:03:00Z,640
btcusdt_0215,BTCUSDT,2026-02-20T00:32:00Z,2026-02-20T11:11:00Z,640
btcusdt_0216,BTCUSDT,2026-02-20T02:40:00Z,2026-02-20T13:19:00Z,640
btcusdt_0217,BTCUSDT,2026-02-20T04:48:00Z,2026-02-20T15:27:00Z,640
btcusdt_0218,BTCUSDT,2026-02-20T06:56:00Z,2026-02-20T17:35:00Z,640
btcusdt_0219,BTCUSDT,2026-02-20T09:04:00Z,2026-02-20T19:43:00Z,640
btcusdt_0220,BTCUSDT,2026-02-20T11:12:00Z,2026-02-20T21:51:00Z,640
btcusdt_0221,BTCUSDT,2026-02-20T13:20:00Z,2026-02-20T23:59:00Z,640
btcusdt_0222,BTCUSDT,2026-02-20T15:28:00Z,2026-02-21T02:07:00Z,640
btcusdt_0223,BTCUSDT,2026-02-20T17:36:00Z,2026-02-21T04:15:00Z,640
btcusdt_0224,BTCUSDT,2026-02-20T19:44:00Z,2026-02-21T06:23:00Z,640
btcusdt_0225,BTCUSDT,2026-02-20T21:52:00Z,2026-02-21T08:31:00Z,640
btcusdt_0226,BTCUSDT,2026-02-21T00:00:00Z,2026-02-21T10:39:00Z,640
btcusdt_0227,BTCUSDT,2026-02-21T02:08:00Z,2026-02-21T12:47:00Z,640
btcusdt_0228,BTCUSDT,2026-02-21T04:16:00Z,2026-02-21T14:55:00Z,640
btcusdt_0229,BTCUSDT,2026-02-21T06:24:00Z,2026-02-21T17:03:00Z,640
btcusdt_0230,BTCUSDT,2026-02-21T08:32:00Z,2026-02-21T19:11:00Z,640
btcusdt_0231,BTCUSDT,2026-02-21T10:40:00Z,2026-02-21T21:19:00Z,640
btcusdt_0232,BTCUSDT,2026-02-21T12:48:00Z,2026-02-21T23:27:00Z,640
btcusdt_0233,BTCUSDT,2026-02-21T14:56:00Z,2026-02-22T01:35:00Z,640
btcusdt_0234,BTCUSDT,2026-02-21T17:04:00Z,2026-02-22T03:43:00Z,640
btcusdt_0235,BTCUSDT,2026-02-21T19:12:00Z,2026-02-22T05:51:00Z,640
btcusdt_0236,BTCUSDT,2026-02-21T21:20:00Z,2026-02-22T07:59:00Z,640
btcusdt_0237,BTCUSDT,2026-02-21T23:28:00Z,2026-02-22T10:07:00Z,640
btcusdt_0238,BTCUSDT,2026-02-22T01:36:00Z,2026-02-22T12:15:00Z,640
btcusdt_0239,BTCUSDT,2026-02-22T03:44:00Z,2026-02-22T14:23:00Z,640
btcusdt_0240,BTCUSDT,2026-02-22T05:52:00Z,2026-02-22T16:31:00Z,640
btcusdt_0241,BTCUSDT,2026-02-22T08:00:00Z,2026-02-22T18:39:00Z,640
btcusdt_0242,BTCUSDT,2026-02-22T10:08:00Z,2026-02-22T20:47:00Z,640
btcusdt_0243,BTCUSDT,2026-02-22T12:16:00Z,2026-02-22T22:55:00Z,640
btcusdt_0244,BTCUSDT,2026-02-22T14:24:00Z,2026-02-23T01:03:00Z,640
btcusdt_0245,BTCUSDT,2026-02-22T16:32:00Z,2026-02-23T03:11:00Z,640
btcusdt_0246,BTCUSDT,2026-02-22T18:40:00Z,2026-02-23T05:19:00Z,640
btcusdt_0247,BTCUSDT,2026-02-22T20:48:00Z,2026-02-23T07:27:00Z,640
btcusdt_0248,BTCUSDT,2026-02-22T22:56:00Z,2026-02-23T09:35:00Z,640
btcusdt_0249,BTCUSDT,2026-02-23T01:04:00Z,2026-02-23T11:43:00Z,640
btcusdt_0250,BTCUSDT,2026-02-23T03:12:00Z,2026-02-23T13:51:00Z,640
btcusdt_0251,BTCUSDT,2026-02-23T05:20:00Z,2026-02-23T15:59:00Z,640
btcusdt_0252,BTCUSDT,2026-02-23T07:28:00Z,2026-02-23T18:07:00Z,640
btcusdt_0253,BTCUSDT,2026-02-23T09:36:00Z,2026-02-23T20:15:00Z,640
btcusdt_0254,BTCUSDT,2026-02-23T11:44:00Z,2026-02-23T22:23:00Z,640
btcusdt_0255,BTCUSDT,2026-02-23T13:52:00Z,2026-02-24T00:31:00Z,640
btcusdt_0256,BTCUSDT,2026-02-23T16:00:00Z,2026-02-24T02:39:00Z,640
btcusdt_0257,BTCUSDT,2026-02-23T18:08:00Z,2026-02-24T04:47:00Z,640
btcusdt_0258,BTCUSDT,2026-02-23T20:16:00Z,2026-02-24T06:55:00Z,640
btcusdt_0259,BTCUSDT,2026-02-23T22:24:00Z,2026-02-24T09:03:00Z,640
btcusdt_0260,BTCUSDT,2026-02-24T00:32:00Z,2026-02-24T11:11:00Z,640
btcusdt_0261,BTCUSDT,2026-02-24T02:40:00Z,2026-02-24T13:19:00Z,640
btcusdt_0262,BTCUSDT,2026-02-24T04:48:00Z,2026-02-24T15:27:00Z,640
btcusdt_0263,BTCUSDT,2026-02-24T06:56:00Z,2026-02-24T17:35:00Z,640
btcusdt_0264,BTCUSDT,2026-02-24T09:04:00Z,2026-02-24T19:43:00Z,640
btcusdt_0265,BTCUSDT,2026-02-24T11:12:00Z,2026-02-24T21:51:00Z,640
btcusdt_0266,BTCUSDT,2026-02-24T13:20:00Z,2026-02-24T23:59:00Z,640
btcusdt_0267,BTCUSDT,2026-02-24T15:28:00Z,2026-02-25T02:07:00Z,640
btcusdt_0268,BTCUSDT,2026-02-24T17:36:00Z,2026-02-25T04:15:00Z,640
btcusdt_0269,BTCUSDT,2026-02-24T19:44:00Z,2026-02-25T06:23:00Z,640
btcusdt_0270,BTCUSDT,2026-02-24T21:52:00Z,2026-02-25T08:31:00Z,640
btcusdt_0271,BTCUSDT,2026-02-25T00:00:00Z,2026-02-25T10:39:00Z,640
btcusdt_0272,BTCUSDT,2026-02-25T02:08:00Z,2026-02-25T12:47:00Z,640
btcusdt_0273,BTCUSDT,2026-02-25T04:16:00Z,2026-02-25T14:55:00Z,640
btcusdt_0274,BTCUSDT,2026-02-25T06:24:00Z,2026-02-25T17:03:00Z,640
btcusdt_0275,BTCUSDT,2026-02-25T08:32:00Z,2026-02-25T19:11:00Z,640
btcusdt_0276,BTCUSDT,2026-02-25T10:40:00Z,2026-02-25T21:19:00Z,640
btcusdt_0277,BTCUSDT,2026-02-25T12:48:00Z,2026-02-25T23:27:00Z,640
btcusdt_0278,BTCUSDT,2026-02-25T14:56:00Z,2026-02-26T01:35:00Z,640
btcusdt_0279,BTCUSDT,2026-02-25T17:04:00Z,2026-02-26T03:43:00Z,640
btcusdt_0280,BTCUSDT,2026-02-25T19:12:00Z,2026-02-26T05:51:00Z,640
btcusdt_0281,BTCUSDT,2026-02-25T21:20:00Z,2026-02-26T07:59:00Z,640
btcusdt_0282,BTCUSDT,2026-02-25T23:28:00Z,2026-02-26T10:07:00Z,640
btcusdt_0283,BTCUSDT,2026-02-26T01:36:00Z,2026-02-26T12:15:00Z,640
btcusdt_0284,BTCUSDT,2026-02-26T03:44:00Z,2026-02-26T14:23:00Z,640
btcusdt_0285,BTCUSDT,2026-02-26T05:52:00Z,2026-02-26T16:31:00Z,640
btcusdt_0286,BTCUSDT,2026-02-26T08:00:00Z,2026-02-26T18:39:00Z,640
btcusdt_0287,BTCUSDT,2026-02-26T10:08:00Z,2026-02-26T20:47:00Z,640
btcusdt_0288,BTCUSDT,2026-02-26T12:16:00Z,2026-02-26T22:55:00Z,640
btcusdt_0289,BTCUSDT,2026-02-26T14:24:00Z,2026-02-27T01:03:00Z,640
btcusdt_0290,BTCUSDT,2026-02-26T16:32:00Z,2026-02-27T03:11:00Z,640
btcusdt_0291,BTCUSDT,2026-02-26T18:40:00Z,2026-02-27T05:19:00Z,640
btcusdt_0292,BTCUSDT,2026-02-26T20:48:00Z,2026-02-27T07:27:00Z,640
btcusdt_0293,BTCUSDT,2026-02-26T22:56:00Z,2026-02-27T09:35:00Z,640
btcusdt_0294,BTCUSDT,2026-02-27T01:04:00Z,2026-02-27T11:43:00Z,640
btcusdt_0295,BTCUSDT,2026-02-27T03:12:00Z,2026-02-27T13:51:00Z,640
btcusdt_0296,BTCUSDT,2026-02-27T05:20:00Z,2026-02-27T15:59:00Z,640
btcusdt_0297,BTCUSDT,2026-02-27T07:28:00Z,2026-02-27T18:07:00Z,640
btcusdt_0298,BTCUSDT,2026-02-27T09:36:00Z,2026-02-27T20:15:00Z,640
btcusdt_0299,BTCUSDT,2026-02-27T11:44:00Z,2026-02-27T22:23:00Z,640
btcusdt_0300,BTCUSDT,2026-02-27T13:52:00Z,2026-02-28T00:31:00Z,640
btcusdt_0301,BTCUSDT,2026-02-27T16:00:00Z,2026-02-28T02:39:00Z,640
btcusdt_0302,BTCUSDT,2026-02-27T18:08:00Z,2026-02-28T04:47:00Z,640
btcusdt_0303,BTCUSDT,2026-02-27T20:16:00Z,2026-02-28T06:55:00Z,640
btcusdt_0304,BTCUSDT,2026-02-27T22:24:00Z,2026-02-28T09:03:00Z,640
btcusdt_0305,BTCUSDT,2026-02-28T00:32:00Z,2026-02-28T11:11:00Z,640
btcusdt_0306,BTCUSDT,2026-02-28T02:40:00Z,2026-02-28T13:19:00Z,640
btcusdt_0307,BTCUSDT,2026-02-28T04:48:00Z,2026-02-28T15:27:00Z,640
btcusdt_0308,BTCUSDT,2026-02-28T06:56:00Z,2026-02-28T17:35:00Z,640
btcusdt_0309,BTCUSDT,2026-02-28T09:04:00Z,2026-02-28T19:43:00Z,640
btcusdt_0310,BTCUSDT,2026-02-28T11:12:00Z,2026-02-28T21:51:00Z,640
btcusdt_0311,BTCUSDT,2026-02-28T13:20:00Z,2026-02-28T23:59:00Z,640
